Time,Time Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD] - Upper middle income [UMC],GDP (constant 2015 US$) [NY.GDP.MKTP.KD] - Lower middle income [LMC],GDP (constant 2015 US$) [NY.GDP.MKTP.KD] - Low income [LIC],GDP (constant 2015 US$) [NY.GDP.MKTP.KD] - High income [HIC]
2020,YR2020,2.36966E+13,7.53023E+12,4.79579E+11,4.98384E+13
2019,YR2019,2.38668E+13,7.79654E+12,4.76617E+11,5.218E+13
2018,YR2018,2.29222E+13,7.52822E+12,4.56458E+11,5.12757E+13
2017,YR2017,2.18462E+13,7.1964E+12,4.40837E+11,5.00975E+13
2016,YR2016,2.07653E+13,6.84202E+12,4.27446E+11,4.89339E+13
2015,YR2015,1.99218E+13,6.45859E+12,4.18166E+11,4.80559E+13
2014,YR2014,1.91044E+13,6.14896E+12,4.20242E+11,4.68828E+13
2013,YR2013,1.82395E+13,5.82674E+12,4.02726E+11,4.58937E+13
2012,YR2012,1.72702E+13,5.54409E+12,3.89463E+11,4.52129E+13
2011,YR2011,1.63191E+13,5.3185E+12,4.02573E+11,4.45969E+13
2010,YR2010,1.52614E+13,5.07496E+12,3.99535E+11,4.37486E+13
2009,YR2009,1.40946E+13,4.7612E+12,3.73626E+11,4.24812E+13
2008,YR2008,1.37294E+13,4.5518E+12,3.59261E+11,4.38869E+13
2007,YR2007,1.28838E+13,4.36682E+12,3.40538E+11,4.37087E+13
2006,YR2006,1.17518E+13,4.08574E+12,3.20849E+11,4.25359E+13
2005,YR2005,1.07943E+13,3.83638E+12,3.03203E+11,4.12351E+13
2004,YR2004,1.00244E+13,3.61426E+12,2.84526E+11,4.00599E+13
2003,YR2003,9.26712E+12,3.3912E+12,2.68244E+11,3.87415E+13
2002,YR2002,8.74972E+12,3.19404E+12,2.56153E+11,3.78854E+13
2001,YR2001,8.35219E+12,3.04803E+12,2.45877E+11,3.72949E+13
2000,YR2000,8.05862E+12,2.93163E+12,2.34725E+11,3.67557E+13
1999,YR1999,7.57646E+12,2.80724E+12,2.27953E+11,3.5303E+13
1998,YR1998,7.31328E+12,2.69465E+12,2.22493E+11,3.413E+13
1997,YR1997,7.09919E+12,2.65933E+12,2.14273E+11,3.31818E+13
1996,YR1996,6.71879E+12,2.56862E+12,2.04627E+11,3.20576E+13
1995,YR1995,6.38243E+12,2.42714E+12,1.93646E+11,3.1101E+13
1994,YR1994,6.16193E+12,2.31979E+12,1.84376E+11,3.02381E+13
1993,YR1993,5.93786E+12,2.2657E+12,1.80651E+11,2.92786E+13
1992,YR1992,5.69724E+12,2.23277E+12,1.78144E+11,2.88895E+13
1991,YR1991,5.64015E+12,2.17298E+12,1.76795E+11,2.82613E+13
1990,YR1990,5.5887E+12,2.12231E+12,1.74301E+11,2.78488E+13
1989,YR1989,5.52943E+12,2.02403E+12,1.76895E+11,2.7009E+13
1988,YR1988,5.4088E+12,1.9328E+12,1.75142E+11,2.59905E+13
1987,YR1987,5.21108E+12,1.8445E+12,1.68799E+11,2.48014E+13
1986,YR1986,4.93754E+12,1.78698E+12,1.60174E+11,2.39658E+13
1985,YR1985,4.70896E+12,1.74793E+12,1.55473E+11,2.31968E+13
1984,YR1984,4.48544E+12,1.68768E+12,1.54725E+11,2.24026E+13
1983,YR1983,4.22243E+12,1.658E+12,1.56225E+11,2.14014E+13
1982,YR1982,4.18255E+12,1.60106E+12,1.53217E+11,2.08155E+13
1981,YR1981,4.09868E+12,1.52487E+12,1.51038E+11,2.08441E+13
1980,YR1980,4.00992E+12,1.49833E+12,..,2.04572E+13
1979,YR1979,3.76098E+12,1.4988E+12,..,2.02059E+13
1978,YR1978,3.51743E+12,1.49762E+12,..,1.94079E+13
1977,YR1977,3.34304E+12,1.49026E+12,..,1.86169E+13
1976,YR1976,3.19085E+12,1.4347E+12,..,1.79004E+13
1975,YR1975,3.0393E+12,1.32512E+12,..,1.70257E+13
1974,YR1974,2.89445E+12,1.29407E+12,..,1.70448E+13
1973,YR1973,2.72896E+12,1.22542E+12,..,1.68757E+13
1972,YR1972,2.5274E+12,1.15918E+12,..,1.58751E+13
1971,YR1971,2.37052E+12,1.09781E+12,..,1.50423E+13
1970,YR1970,2.2206E+12,1.03426E+12,..,1.44808E+13
1969,YR1969,2.04998E+12,9.50402E+11,..,1.40538E+13
1968,YR1968,1.90143E+12,8.6974E+11,..,1.33389E+13
1967,YR1967,1.80149E+12,8.17469E+11,..,1.25856E+13
1966,YR1966,1.74521E+12,7.911E+11,..,1.20609E+13
1965,YR1965,1.64349E+12,7.71276E+11,..,1.13892E+13
1964,YR1964,1.5328E+12,7.42061E+11,..,1.07975E+13
1963,YR1963,1.40967E+12,6.95448E+11,..,1.01529E+13
1962,YR1962,1.35715E+12,6.53702E+11,..,9.64243E+12
1961,YR1961,1.31331E+12,6.33591E+11,..,9.12567E+12
1960,YR1960,1.31549E+12,6.11373E+11,..,8.74437E+12
